,city,IATA
265,Babo,BXB
266,Curitiba,BFH
267,Bacau,BCM
268,Baco,BCO
269,Bacolod,BCD
270,Karlsruhe-Baden,FKB
271,\N,BDD
272,Bafoussam,BFX
273,Nyuang U,NYU
274,Bagan,BPE
275,Baghdogra,IXB
276,Baghdad,SDA
277,Bagotville,YBG
278,Baguio,BAG
279,Bahawalpur,BHV
280,Bahia Piña,BFQ
281,Bahias Dehuatulco,HUX
282,Bahar Dar,BJR
283,Bahrain,BAH
284,Baie Comeau,YBC
285,Liuzhou,LZH
286,Basse Terre,BBR
287,Baimuru,VMU
288,\N,HET
289,Guangzhou,CAN
290,Bajhang,BJH
291,Bakalalan,BKM
292,Bakel,BXE
293,Baker Lake,YBK
294,Balakovo,BWO
295,Chelyabinsk,CEK
296,Mulhouse,MLH
297,Denpasar,DPS
298,Krakow,KRK
299,\N,EDO
300,Balikesir,BZI
301,Balimo,OPU
302,Ballalae,BAS
303,Ballina Byron Bay,BNK
304,Balmaceda,BBA
305,Baltimore,BWI
306,\N,BXR
307,Amberley,ABM
308,Bamenda,BPC
309,\N,OUI
310,Banak,LKL
311,Bandar Abbas,BND
312,Bandar Lengeh,BDH
313,Colombo,CMB
314,Moheli,NWA
315,Bandirma,BDM
316,Bandoundu,FDU
317,Bangalore,BLR
318,Bangor,BGR
319,Bangui,BGF
320,Banja Luka,BNX
321,Banjul,BJL
322,Banmaw,BMO
323,Bannu,BNP
324,Shenzhen,SZX
325,Baotou,BAV
326,Magangue,MGN
327,Madrid,MAD
328,Tanjung Redep-Borneo Island,BEJ
329,Troyes,QYR
330,\N,BCI
331,Barcelona,BCN
332,Bardufoss,BDU
333,Bari,BRI
334,Barinas,BNS
335,Bario,BBN
336,Barisal,BZL
337,Barking Sands,BKH
338,PADUCAH,PAH
339,Shreveport,BAD
340,Barnaul,BAX
341,Barnstable,HYA
342,Barquisimeto,BRM
343,Barra,BRR
344,Pococi,BCL
345,Barter Island,BTI
346,Campos,CAW
347,Barysiai,HLJ
